X,Y,OBJECTID_1,OBJECTID,ID,PORT,PORT_NAME,GRAND_TOTA,FOREIGN_TO,IMPORTS,EXPORTS,DOMESTIC
-93.28683900005305,30.106405999887812,44,44,12,C2254,"Lake Charles, LA",56908344,29066473,16894334,12172139,27841871
-92.440674000296426,31.312083000112647,45,45,88,I2227,Central Louisiana Regional Port,3211068,0,0,0,3211068
-90.205278999594199,29.121944999712454,46,46,61,C1910,"Port Fourchon, LA",7836594,122354,15380,106974,7714240
-91.843794999804132,29.93731399999286,47,47,106,C2030,"Iberia, LA",2172388,0,0,0,2172388
-90.659050999807604,29.579070000043792,48,48,110,C2224,"Terrebonne, LA, Port of",2122316,930,930,0,2121386
-90.617939999681852,30.033450000329701,49,49,1,C2253,"South Louisiana, LA, Port of",275512500,141536873,38252692,103284181,133975627
-91.19934000015607,30.422920000079408,50,50,8,C2252,"Baton Rouge, LA",82234811,35084717,6284412,28800305,47150094
-91.430732000033572,31.547237999901483,51,51,141,I2270,"Natchez, MS",1045109,0,0,0,1045109
-90.900559999789678,32.334699999896742,52,52,89,I2276,"Vicksburg, MS",2962979,0,0,0,2962979
-91.153610000281631,32.794719999915188,53,53,136,I2269,"Lake Providence, LA",1147254,0,0,0,1147254
-91.126869000311288,33.359231999779354,54,54,91,I2271,"Greenville, MS",2944932,0,0,0,2944932
-89.687447000101415,29.480003999785009,55,55,13,C2255,"Plaquemines, LA, Port of",56850137,25735724,6605611,19130113,31114413
-90.085255999984795,29.914140000137532,56,56,6,C2251,"New Orleans, LA",93332543,43810994,18402293,25408701,49521549
-89.085330000442525,30.352159999780564,57,57,114,C2083,"Gulfport, MS",2052691,2025585,1374591,650994,27106
-88.558790000283437,30.348020000195824,58,58,23,C2004,"Pascagoula, MS",27358043,17521892,8833016,8688876,9836151
-88.041130000319797,30.72527000000661,59,59,11,C2005,"Mobile, AL",58635622,36516319,19104863,17411456,22119303
-84.199260000265483,30.190090000216639,60,60,108,C2016,"Panama City, FL",2140388,1717564,656103,1061461,422824
-82.602709999600734,27.659999999799723,61,61,79,C2023,"Port Manatee, FL",4763728,3486373,3213890,272483,1277355
-82.522350000320714,27.785340000128098,62,62,22,C2021,"Tampa, FL",31006487,12216828,8053152,4163676,18789659
-80.181641999923116,25.782862000181144,63,63,58,C2164,"Miami, FL",8371129,8309232,4965413,3343819,61897
-80.117801000028521,26.093392000071571,64,64,29,C2163,"Port Everglades, FL",25022351,11646824,8136979,3509845,13375527
-80.052669999622992,26.769039999836934,65,65,112,C2162,"Palm Beach, FL",2094734,1527539,384057,1143482,567195
-80.608150000109461,28.414090000060813,66,66,75,C2160,"Port Canaveral, FL",5436994,4045149,4032876,12273,1391845
-81.665125000278167,30.322756999810611,67,67,35,C2017,"Jacksonville, FL",17999036,9721385,7744659,1976726,8277651
-81.499879999884115,31.158559999744998,68,68,99,C780,"Brunswick, GA",2503937,2419557,1139371,1280186,84380
-81.095381999766403,32.084711000216075,69,69,16,C776,"Savannah, GA",41273947,40138093,22512768,17625325,1135854
-79.921595000123617,32.788780999960537,70,70,30,C773,"Charleston, SC",24822636,22784122,14144869,8639253,2038514
-95.740019999660191,36.218200000003336,71,71,115,I6109,"Tulsa, Port of Catoosa, OK",2044890,0,0,0,2044890
-94.607620000327657,39.115000000193575,72,72,129,I2385,"Kansas City, MO",1374284,0,0,0,1374284
-93.061900000408329,44.951569999803638,73,73,71,I2320,"St. Paul, MN",5813777,0,0,0,5813777
-91.0220600004061,33.813551000098421,74,74,139,I2268,"Rosedale, MS",1066185,0,0,0,1066185
-90.58322999991033,34.521860000365805,75,75,137,I2293,"Helena, AR",1118011,0,0,0,1118011
-90.061979999694685,35.181769999752454,76,76,48,I2294,"Memphis, TN",11055740,0,0,0,11055740
